,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
780,female,group D,associate's degree,free/reduced,none,46,56,57
875,male,group C,some college,free/reduced,none,80,64,66
217,female,group C,high school,free/reduced,none,34,42,39
450,female,group C,some college,free/reduced,completed,64,85,85
565,male,group B,associate's degree,standard,none,48,43,45
164,female,group E,master's degree,standard,none,81,92,91
406,male,group B,associate's degree,standard,completed,65,65,63
516,female,group D,some college,standard,none,74,89,84
571,male,group A,bachelor's degree,standard,none,91,96,92
2,female,group B,master's degree,standard,none,90,95,93
182,female,group E,high school,standard,none,50,50,47
81,male,group B,high school,free/reduced,none,49,45,45
661,male,group C,some high school,standard,none,73,66,63
101,male,group D,bachelor's degree,standard,completed,68,74,74
775,female,group B,some high school,free/reduced,none,49,58,55
202,male,group C,associate's degree,standard,none,69,77,69
159,male,group D,associate's degree,free/reduced,none,66,62,64
71,male,group D,some college,standard,completed,63,55,63
37,female,group D,some high school,free/reduced,none,50,64,59
885,female,group C,associate's degree,standard,completed,62,76,80
66,male,group D,some high school,free/reduced,none,45,37,37
23,female,group C,some high school,standard,none,69,73,73
303,male,group B,associate's degree,standard,none,80,76,64
829,male,group B,some high school,standard,none,68,54,53
852,female,group E,some college,standard,none,87,85,93
593,female,group E,high school,standard,none,74,76,73
317,male,group C,associate's degree,standard,none,83,72,78
768,female,group D,some high school,standard,none,68,71,75
463,female,group C,some college,free/reduced,none,77,90,91
43,male,group B,some college,free/reduced,completed,59,65,66
6,female,group B,some college,standard,completed,88,95,92
437,male,group D,associate's degree,free/reduced,none,75,66,73
981,male,group D,some high school,standard,none,81,78,78
68,male,group B,associate's degree,free/reduced,none,61,58,56
671,male,group D,associate's degree,free/reduced,none,52,57,50
162,male,group B,master's degree,free/reduced,none,49,53,52
741,female,group A,associate's degree,free/reduced,none,37,57,56
160,male,group B,associate's degree,free/reduced,completed,82,78,74
504,female,group D,master's degree,free/reduced,none,40,59,54
762,male,group D,some high school,standard,completed,78,81,86
412,male,group D,associate's degree,standard,none,71,66,60
660,male,group C,some college,free/reduced,none,74,77,73
948,male,group B,some high school,free/reduced,completed,49,50,52
545,male,group E,some high school,free/reduced,completed,78,83,80
257,male,group C,associate's degree,standard,completed,78,77,77
39,male,group B,associate's degree,free/reduced,none,57,56,57
415,male,group E,high school,standard,none,84,73,69
980,female,group B,high school,free/reduced,none,8,24,23
752,male,group C,master's degree,free/reduced,completed,79,77,75
334,female,group C,bachelor's degree,standard,none,83,93,95
90,female,group C,bachelor's degree,standard,none,65,72,74
673,female,group C,associate's degree,standard,completed,65,84,84
951,female,group D,some college,standard,completed,75,77,83
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
147,male,group C,associate's degree,free/reduced,none,73,68,66
884,female,group E,associate's degree,standard,none,51,51,54
211,male,group C,some college,free/reduced,none,35,28,27
666,female,group C,some college,free/reduced,completed,63,73,71
718,female,group C,high school,standard,none,76,76,74
349,male,group E,associate's degree,standard,none,87,74,76
640,male,group D,high school,standard,none,41,52,51
203,female,group B,associate's degree,standard,none,57,69,68
171,male,group E,some high school,standard,none,94,88,78
962,female,group E,associate's degree,standard,none,100,100,100
502,male,group C,some college,free/reduced,none,63,61,54
932,male,group D,associate's degree,free/reduced,completed,61,71,73
725,male,group E,some college,standard,completed,81,74,71
32,female,group E,master's degree,free/reduced,none,56,72,65
436,male,group D,associate's degree,standard,none,75,68,64
698,female,group D,associate's degree,standard,completed,57,78,79
530,female,group C,associate's degree,standard,completed,68,67,73
375,male,group E,associate's degree,free/reduced,none,46,43,41
776,female,group B,high school,standard,none,66,72,70
490,female,group A,associate's degree,free/reduced,none,65,85,76
301,male,group D,some high school,free/reduced,none,56,54,52
65,male,group B,some high school,standard,none,67,64,61
529,female,group C,associate's degree,standard,none,62,74,70
320,female,group C,high school,free/reduced,completed,67,79,84
79,female,group E,master's degree,standard,none,62,68,68
795,female,group E,associate's degree,free/reduced,completed,57,68,73
289,male,group E,some high school,standard,completed,77,76,77
920,male,group D,high school,free/reduced,none,69,70,67
263,female,group E,high school,standard,none,99,93,90
326,male,group C,some college,standard,none,61,61,62
841,male,group C,some high school,standard,none,64,58,51
656,male,group C,associate's degree,free/reduced,none,77,67,64
441,female,group D,high school,standard,none,78,81,80
10,male,group C,associate's degree,standard,none,58,54,52
409,male,group D,associate's degree,standard,completed,87,84,85
519,female,group B,high school,free/reduced,completed,67,78,79
886,female,group E,associate's degree,standard,completed,93,100,95
111,male,group C,high school,standard,none,62,55,49
250,male,group A,some high school,standard,completed,47,49,49
928,male,group E,associate's degree,free/reduced,completed,46,43,44
625,male,group D,some college,standard,completed,100,97,99
341,female,group C,high school,standard,none,61,73,63
97,female,group E,some college,standard,completed,63,72,70
356,male,group A,associate's degree,standard,none,63,61,61
256,female,group C,associate's degree,free/reduced,none,64,73,68
141,female,group C,some college,free/reduced,none,59,62,64
828,female,group D,some high school,free/reduced,completed,69,86,81
966,male,group A,some high school,standard,completed,66,68,64
887,male,group C,high school,free/reduced,none,54,72,59
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
760,female,group C,high school,free/reduced,none,53,72,64
290,male,group C,associate's degree,standard,none,76,70,68
882,female,group B,high school,free/reduced,none,64,73,71
456,female,group D,bachelor's degree,standard,none,79,89,89
370,male,group E,some college,standard,none,84,77,71
354,female,group C,some college,standard,none,59,71,70
103,male,group B,high school,standard,completed,60,44,47
401,male,group A,some college,standard,none,53,43,43
527,female,group C,high school,free/reduced,none,36,53,43
560,female,group D,some college,standard,completed,74,75,79
338,female,group B,some high school,free/reduced,none,24,38,27
426,male,group C,bachelor's degree,standard,none,86,83,86
77,male,group A,bachelor's degree,standard,completed,80,78,81
138,female,group C,associate's degree,standard,none,59,66,67
424,male,group B,some college,free/reduced,none,41,39,34
127,male,group D,some college,standard,completed,65,77,74
581,female,group E,some high school,standard,none,77,79,80
478,female,group D,master's degree,standard,none,55,64,70
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
434,male,group C,some high school,standard,none,73,66,66
47,female,group C,high school,standard,none,66,71,76
969,female,group B,bachelor's degree,standard,none,75,84,80
413,male,group B,some high school,standard,completed,63,67,67
730,female,group B,associate's degree,free/reduced,completed,68,77,80
946,male,group B,high school,standard,none,82,82,80
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
988,female,group A,some high school,free/reduced,none,44,45,45
395,male,group A,high school,free/reduced,none,48,45,41
688,male,group A,high school,free/reduced,none,53,58,44
659,male,group D,associate's degree,standard,none,90,87,85
420,female,group C,associate's degree,free/reduced,completed,82,93,93
935,male,group D,some college,free/reduced,none,70,63,58
93,male,group C,associate's degree,free/reduced,completed,43,45,50
804,female,group C,some college,standard,none,73,76,78
4,male,group C,some college,standard,none,76,78,75
983,female,group A,some college,standard,completed,78,87,91
271,male,group C,some college,standard,none,58,49,42
269,female,group E,some college,free/reduced,none,71,76,70
21,female,group B,some college,free/reduced,completed,65,75,70
585,female,group C,associate's degree,standard,none,65,76,76
201,female,group D,some college,free/reduced,none,65,81,77
78,female,group D,some high school,standard,completed,61,74,72
724,male,group B,some college,standard,none,47,43,41
955,male,group E,associate's degree,standard,none,72,57,62
826,female,group C,associate's degree,free/reduced,completed,56,68,70
102,female,group D,associate's degree,standard,none,85,91,89
74,male,group C,some high school,standard,none,49,49,41
180,male,group C,master's degree,free/reduced,completed,62,68,75
392,male,group E,some college,standard,none,76,67,67
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
863,female,group C,some college,standard,completed,71,71,80
277,female,group E,high school,standard,completed,59,63,75
189,female,group C,bachelor's degree,standard,none,77,88,87
543,female,group D,associate's degree,standard,none,82,95,89
606,female,group C,associate's degree,standard,none,85,84,82
235,male,group D,associate's degree,standard,none,80,75,77
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
430,male,group C,associate's degree,free/reduced,none,64,66,59
418,male,group D,some college,standard,none,68,59,62
918,female,group C,associate's degree,standard,completed,57,77,80
172,female,group D,some college,standard,none,79,86,81
637,female,group D,some high school,standard,completed,80,92,88
5,female,group B,associate's degree,standard,none,71,83,78
148,female,group D,bachelor's degree,standard,completed,68,75,81
453,male,group C,some college,free/reduced,none,65,58,49
132,male,group E,some college,free/reduced,completed,87,74,70
163,male,group C,high school,standard,none,52,53,49
626,male,group B,associate's degree,free/reduced,completed,69,70,63
12,female,group B,high school,standard,none,65,81,73
76,male,group E,some high school,standard,none,30,26,22
641,female,group D,associate's degree,free/reduced,completed,74,88,90
827,female,group C,some high school,standard,none,65,69,76
772,female,group B,some high school,free/reduced,completed,52,67,72
442,female,group A,some high school,free/reduced,none,59,73,69
674,female,group D,high school,standard,completed,69,77,78
890,female,group E,some college,standard,completed,86,85,91
701,female,group B,some high school,standard,none,57,67,72
653,female,group A,associate's degree,standard,completed,65,70,74
531,female,group C,some high school,standard,none,47,54,53
309,female,group D,high school,free/reduced,none,49,57,52
796,male,group D,high school,standard,none,70,70,70
465,female,group C,some college,standard,none,84,87,91
738,male,group D,associate's degree,standard,none,81,71,73
122,female,group C,some college,standard,completed,88,93,93
245,male,group C,associate's degree,standard,none,85,76,71
145,female,group C,some college,free/reduced,none,22,39,33
439,male,group D,some high school,standard,completed,89,88,82
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
92,male,group C,high school,standard,none,71,79,71
715,female,group B,associate's degree,free/reduced,completed,76,94,87
856,male,group B,some college,free/reduced,none,75,68,65
476,male,group E,bachelor's degree,standard,completed,76,62,66
179,female,group D,some high school,standard,completed,97,100,100
105,female,group C,some college,standard,none,58,67,72
957,female,group D,master's degree,standard,none,92,100,100
854,male,group C,some high school,standard,none,62,64,55
84,male,group D,high school,free/reduced,none,42,39,34
198,female,group B,some college,free/reduced,none,45,53,55
178,female,group B,master's degree,free/reduced,completed,52,70,62
675,female,group B,some college,standard,completed,50,64,66
131,male,group C,some high school,free/reduced,completed,53,37,40
440,female,group C,some college,standard,completed,67,81,79
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
877,male,group C,some high school,standard,none,57,61,54
282,female,group D,bachelor's degree,free/reduced,none,73,79,84
469,male,group C,some college,standard,none,91,74,76
407,female,group B,associate's degree,standard,none,82,80,77
601,female,group C,high school,standard,none,29,29,30
243,male,group E,some college,standard,none,59,51,43
321,female,group E,high school,standard,none,75,86,79
80,female,group B,associate's degree,standard,none,47,49,50
994,male,group A,high school,standard,none,63,63,62
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
931,male,group D,some college,free/reduced,none,62,57,62
960,female,group A,some college,standard,none,56,58,64
